stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
3055,, SATURNINO DE BRITO,,-30.035803,-51.151584
3052,, IPE,,-30.033145,-51.153281
3051,, SAO LEOPOLDO,,-30.032823,-51.153888
3050,, SOUZA LOBO,,-30.036026,-51.154847
3045,, SAO LEOPOLDO,,-30.032941,-51.155605
3044,, GEN SALVADOR PINHEIRO,,-30.034409,-51.156859
3043,, SAO LEOPOLDO,,-30.033247,-51.157333
3042,, SOUZA LOBO,,-30.035812,-51.157003
3037,, GEN BARRETO VIANA,,-30.038833,-51.158193
3036,, ISRAEL,,-30.03958,-51.157185
3035,, ISRAEL,,-30.039106,-51.157943
3020,, JOSE GERTUM,,-30.036393,-51.160893
3019,, JOSE GERTUM,,-30.035438,-51.162096
3018,, JOSE GERTUM,,-30.037946,-51.159858
3015,, LIMA DUARTE,,-30.034719,-51.163676
3013,, JOSE GERTUM,,-30.034247,-51.164424
3012,, JOSE GERTUM,,-30.034848,-51.163295
3011,, DR ERNESTO LUDWIG,,-30.0358,-51.163933
2990,, SAO LUCAS,,-30.043365,-51.167058
2989,, SAO LUCAS,,-30.044795,-51.167106
2985,, CANTO,,-30.047132,-51.163423
2980,, PROF ABILIO AZAMBUJA,,-30.048024,-51.166731
2971,, LIBERO BADARO,,-30.02363,-51.17086
2962,, QUATORZE DE JULHO,,-30.02424,-51.172427
2942,, TOMAZ GONZAGA,,-30.023778,-51.176167
2935,, SUL,,-30.019399,-51.182077
2932,, ENG ALFREDO CORREA DAUDT,,-30.022971,-51.179828
2931,, ENG ALFREDO CORREA DAUDT,,-30.024032,-51.17978
2913,, JOAO OBINO,,-30.032409,-51.180157
2903,, GUTEMBERG,,-30.039659,-51.172573
2901,, PROTASIO ALVES,,-30.038569,-51.173612
2900,, PROTASIO ALVES,,-30.038682,-51.173516
2898,, JORDAO,,-30.042347,-51.167518
2897,, JORDAO,,-30.04242,-51.167497
2896,, JORDAO,,-30.042325,-51.168933
2895,, SAO SIMAO,,-30.041736,-51.169287
2894,, SAO MATEUS,,-30.041713,-51.170603
2878,, ENG ANTONIO CARLOS TIBIRICA,,-30.047625,-51.174543
2867,, JOAO OBINO,,-30.034435,-51.181484
2864,,PETROPOLIS PALMEIRA,,-30.037463,-51.180832
2863,, LAGEADO,,-30.037609,-51.181139
2862,,PETROPOLIS BAGE,,-30.038935,-51.180946
2859,,PETROPOLIS BAGE,,-30.039762,-51.182617
2857,, SENADOR TARSO DUTRA,,-30.044143,-51.176153
2856,, SENADOR TARSO DUTRA,,-30.044221,-51.176129
2854,, PROF IVO CORSEUIL,,-30.043152,-51.178851
2851,, ENG ANTONIO CARLOS TIBIRICA,,-30.047663,-51.176527
2848,, PROF IVO CORSEUIL,,-30.045499,-51.17863
2847,, PROF IVO CORSEUIL,,-30.045588,-51.178556
2846,, PROF IVO CORSEUIL,,-30.046756,-51.178876
2840,, LAGOINHA,,-30.043313,-51.180884
2838,, SACADURA CABRAL,,-30.045486,-51.181508
2837,, MARIZ E BARROS,,-30.045444,-51.183273
2770,, PITORESCA,,-30.069661,-51.152968
2675,, JUAREZ TAVORA,,-30.065712,-51.173852
2674,, JUAREZ TAVORA,,-30.065546,-51.173974
2669,, LUIZ MOSCHETTI,,-30.073146,-51.17443
2668,, LUIZ MOSCHETTI,,-30.072958,-51.174584
2664,, CARNEIRO DA FONTOURA,,-30.075873,-51.168917
2661,, EUZEBIO SILVA,,-30.07507,-51.16975
2654,, TEN CASTELO,,-30.074626,-51.173246
2649,, LUIZ MOSCHETTI,,-30.073795,-51.173506
2647,, DR MANOEL JOSE LOPES FERNANDES,,-30.075168,-51.174307
2646,, DR MANOEL JOSE LOPES FERNANDES,,-30.075313,-51.174504
2645,, SAIBREIRA,,-30.076263,-51.173389
2640,, LUIZ MOSCHETTI,,-30.072126,-51.175837
2639,, LUIZ MOSCHETTI,,-30.072182,-51.175889
2636,, TEN ARY TARRAGO (PARTENON),,-30.071507,-51.179253
2629,, TEN ARY TARRAGO (PARTENON),,-30.071421,-51.179561
2628,, TEN ARY TARRAGO (PARTENON),,-30.070732,-51.180491
2627,, TEN ARY TARRAGO (PARTENON),,-30.070877,-51.180394
2626,, SARGENTO MARIO LOPES,,-30.070572,-51.182032
2624,, SARGENTO MARIO LOPES,,-30.069625,-51.183408
2551,, PEDREIRA I,,-30.09554,-51.14209
2548,, CAPOEIRAS,,-30.090872,-51.14863
2535,, JAIME LINO DOS SANTOS FILHO,,-30.104987,-51.140033
2510,, SETE MIL CENTO QUARENTA SEIS,,-30.144763,-51.128114
2507,,RESTINGA PADRE PEDRO LEONARDI,,-30.146048,-51.128721
2505,, LUIZ MENEZES,,-30.146402,-51.129375
2503,, CAPOEIRAS,,-30.091988,-51.151022
2502,, CAPOEIRAS,,-30.093998,-51.152268
2475,, CANUDOS,,-30.093863,-51.173504
2452,, RENASCENCA,,-30.097046,-51.183452
2396,, DR VERGARA,,-30.11548,-51.180344
2384,, GEDEON LEITE,,-30.139693,-51.174201
2381,, GEDEON LEITE,,-30.141046,-51.174935
2366,, DOM PEDRO II,,-30.018164,-51.186419
2331,, PEDRO IVO,,-30.029446,-51.189146
2326,, NOVA YORK,,-30.018771,-51.1952
2310,, MARILAND,,-30.026353,-51.193294
2308,, TITO LIVIO ZAMBECARI,,-30.028541,-51.193785
2298,, QUINTINO BOCAIUVA,,-30.029556,-51.196948
2297,, QUINTINO BOCAIUVA,,-30.031855,-51.196995
2286,,PETROPOLIS BAGE,,-30.040378,-51.184711
2270,, FELIPE DE OLIVEIRA,,-30.045131,-51.186598
2262,, ECA DE QUEIROZ,,-30.042282,-51.191772
2260,, FELIPE DE OLIVEIRA,,-30.044068,-51.191657
2240,, DONA EUGENIA,,-30.041989,-51.194577
2192,, FARRAPOS,,-30.024047,-51.214008
2167,, INDEPENDENCIA,,-30.029312,-51.216164
2151,, DONA EUGENIA,,-30.040667,-51.204699
2138,, DOMINGOS CRESCENCIO,,-30.047177,-51.203293
2137,, DOMINGOS CRESCENCIO,,-30.047473,-51.203656
2133,, LEOPOLDO BIER,,-30.044943,-51.204875
2125,, BERNARDO PIRES,,-30.046635,-51.204116
2115,, RAMIRO BARCELOS,,-30.033305,-51.208323
2112,, FERNANDES VIEIRA,,-30.034257,-51.210972
2072,, JOAO PESSOA,,-30.042292,-51.215492
2020,, GUILHERME ALVES,,-30.057374,-51.189433
1988,, LUIZ DE CAMOES,,-30.052585,-51.199257
1971,, SARGENTO MARIO LOPES,,-30.068956,-51.184371
1970,, CEL APARICIO BORGES,,-30.067847,-51.187433
1960,, HOMEM DE MELLO,,-30.065851,-51.190214
1955,, HOMEM DE MELLO,,-30.066867,-51.191169
1953,, HOMEM DE MELLO,,-30.06739,-51.191703
1948,, CEL APARICIO BORGES,,-30.070396,-51.189219
1941,, DONA VEVA,,-30.073732,-51.188567
1936,, SAO MIGUEL,,-30.075491,-51.191122
1890,, SANTIAGO DANTAS,,-30.078601,-51.19447
1884,, COMENDADOR ANTONIO FONTOURA,,-30.077689,-51.196408
1883,, COMENDADOR ANTONIO FONTOURA,,-30.077717,-51.196543
1877,, COMENDADOR ANTONIO FONTOURA,,-30.078697,-51.197384
1856,, MONSENHOR VERAS,,-30.050161,-51.20212
1853,, LUIZ DE CAMOES,,-30.055,-51.201059
1852,, LUIZ DE CAMOES,,-30.056613,-51.201508
1841,, GUILHERME SCHELL,,-30.052672,-51.206714
1838,, GUILHERME SCHELL,,-30.056979,-51.208002
1837,,STO ANTONIO PAULINO CHAVES,,-30.058546,-51.200913
1833,,STO ANTONIO PADRE ANTONIO VIEIRA,,-30.058543,-51.202052
1831,,STO ANTONIO PADRE ANTONIO VIEIRA,,-30.060278,-51.202623
1830,,STO ANTONIO PADRE ANTONIO VIEIRA,,-30.060412,-51.202588
1823,,STO ANTONIO PADRE ANTONIO VIEIRA,,-30.062333,-51.203155
1822,,STO ANTONIO PADRE ANTONIO VIEIRA,,-30.062304,-51.203232
1815,, MOYSES ANTUNES DA CUNHA,,-30.058083,-51.207326
1814,, MOYSES ANTUNES DA CUNHA,,-30.059852,-51.206647
1701,, PROF MANOEL LOBATO,,-30.069324,-51.21538
1663,, DR BARROS CASSAL,,-30.026864,-51.217252
1601,, JOSE DO PATROCINIO,,-30.041782,-51.221188
1583,, DEMETRIO RIBEIRO,,-30.03608,-51.228625
1572,, DEMETRIO RIBEIRO,,-30.03608,-51.230644
1530,, GEN JOAO MANOEL,,-30.029776,-51.233862
1525,, MAUA,,-30.030527,-51.237568
1524,,CENTRO ANDRADAS,,-30.032584,-51.237729
1515,, GEN CYPRIANO FERREIRA,,-30.035074,-51.235249
1514,, WASHINGTON LUIZ,,-30.036015,-51.236547
1513,, WASHINGTON LUIZ,,-30.036059,-51.236385
1508,, WASHINGTON LUIZ,,-30.036254,-51.237989
1507,, WASHINGTON LUIZ,,-30.036357,-51.238907
1477,, CORREA LIMA,,-30.061474,-51.22016
1466,, CORREA LIMA,,-30.061737,-51.220871
1465,, CORREA LIMA,,-30.06392,-51.223201
1413,, CORREA LIMA,,-30.066469,-51.223844
1412,, CORREA LIMA,,-30.066517,-51.223942
1411,, CORREA LIMA,,-30.06786,-51.224285
1410,, CORREA LIMA,,-30.067961,-51.224206
1383,, CORREA LIMA,,-30.069481,-51.224651
1382,, CORREA LIMA,,-30.069507,-51.224767
1375,, BANCO DO COMERCIO,,-30.072078,-51.225695
1371,, CORREA LIMA,,-30.071307,-51.228225
1370,, BANCO DO COMERCIO,,-30.072398,-51.226944
1366,, CORREA LIMA,,-30.071677,-51.229239
1365,, CORREA LIMA,,-30.072186,-51.230053
1364,, CORREA LIMA,,-30.072244,-51.23064
1337,, JAGUARI,,-30.081226,-51.234084
1324,, CAPIVARI,,-30.080944,-51.242718
1322,, CAPIVARI,,-30.080224,-51.243829
1269,, BELEM VELHO,,-30.113569,-51.19165
1266,, BELEM VELHO,,-30.113246,-51.191873
1261,, BELEM VELHO,,-30.11089,-51.198652
1257,, MARECHAL MESQUITA,,-30.083403,-51.207449
1219,, BELEM VELHO,,-30.113257,-51.201568
1186,, JORGE PEREIRA NUNES,,-30.130771,-51.193947
1179,, JORGE PEREIRA NUNES,,-30.134631,-51.18741
1178,, JORGE PEREIRA NUNES,,-30.134701,-51.187446
1175,, JORGE PEREIRA NUNES,,-30.136434,-51.186366
1174,, JORGE PEREIRA NUNES,,-30.136462,-51.186443
1091,, ENIO AVELINE DA ROCHA,,-30.130346,-51.216125
1084,,ZONA INDEFINIDA ARMANDO CZAMANSKI,,-30.13576,-51.207161
1083,,ZONA INDEFINIDA ARMANDO CZAMANSKI,,-30.135226,-51.207397
1082,, DR MIGUEL VIEIRA FERREIRA,,-30.135351,-51.207982
1081,,ZONA INDEFINIDA ARMANDO CZAMANSKI,,-30.13658,-51.207321
1080,, CRISTIANO KRAEMER,,-30.144523,-51.201811
1079,, CRISTIANO KRAEMER,,-30.144613,-51.201824
1076,, CARLOS NOBRE (JOSE E VILLALOBOS JR ),,-30.136258,-51.208559
